name,pillar,category,description,mira_whisper
Cremation & Burial,farewell,,Dignified final arrangements,A dignified farewell for your beloved companion
Memorial & Remembrance,farewell,,Memorial planning and keepsakes,Honor the love you shared together
Grief Support Resources,farewell,,Support during difficult times,We're here for you during this difficult time
Ethical Adoption Discovery,adopt,,Find verified shelters and rescues,Find your perfect companion match
Breed Suitability Advisory,advisory,,Find the right breed for your lifestyle,Expert guidance for pet parents
Adoption Readiness Planning,advisory,,Are you ready for a pet?,Find your perfect companion match
Home Preparation Guidance,adopt,,Prepare your home for a new pet,Find your perfect companion
First 30 Days Support,adopt,,Transition support for new adoptions,Find your perfect companion
Personal Shopping Assistance,advisory,,Help finding the right products,Expert guidance for pet parents
Emergency Sourcing,emergency,,Urgent product sourcing,Expert help when you need it most
Vet-Recommended Sourcing,care,,Find specific vet-recommended products,Professional health care and prevention
Travel & Relocation Sourcing,travel,,All products needed for travel/move,Stress-free journeys for your companion
Test Custom Service UPDATED,care,,Updated description,Professional care for your companion
Updated Test Grooming Service,care,,Updated description for testing,"Professional grooming for a healthy, beautiful coat"
Long Coat · Full Grooming · Complete Spa Day,care,grooming,,"Professional grooming for a healthy, beautiful coat"
Short Coat · Express Grooming · Quick Refresh,care,grooming,,"Professional grooming for a healthy, beautiful coat"
Curly Coat · Poodle Mix Grooming · Doodle Specialist,care,grooming,,"Professional grooming for a healthy, beautiful coat"
Small Breed · Puppy's First Groom · Gentle Introduction,care,grooming,,Foundation training for lifelong good behavior
Large Breed · Big Dog Bath · Home Service,care,grooming,,"Refreshing bath for a clean, happy companion"
High Energy · Obedience Training · Focus Building,learn,training,,Professional training to build confidence and good behavior
Indie Dog · Street Dog Rehab · Urban Adjustment,learn,training,,Expert training and guidance
Small Breed · Puppy Socialization · Early Learning,learn,training,,Foundation training for lifelong good behavior
Anxious Dog · Behavior Modification · Calm Building,learn,training,,Expert training and guidance
Scent Dog · Nose Work Training · Mental Exercise,learn,training,,Professional training to build confidence and good behavior
High Energy · Power Walk · Energy Drain,care,walking_sitting,,Professional care for your companion
Small Breed · Gentle Walk · Leisurely Pace,care,walking_sitting,,Professional care for your companion
Large Breed · Adventure Walk · Trail Exploration,care,walking_sitting,,Professional care for your companion
All Breeds · Pet Sitting · Home Care,care,walking_sitting,,Personalized care in familiar surroundings
Small Breed · Lap Dog Sitter · Companion Care,care,walking_sitting,,Professional care for your companion
Large Breed · Flight Crate Training · Travel Prep,learn,travel_handling,,Professional training to build confidence and good behavior
Small Breed · Cabin Travel Prep · Fly With Me,travel,travel_handling,,Stress-free journeys for your companion
All Breeds · Road Trip Setup · Car Travel Ready,travel,travel_handling,,Stress-free journeys for your companion
Anxious Traveler · Travel Anxiety Support · Calm Journey,travel,travel_handling,,Stress-free journeys for your companion
All Breeds · Birthday Party Setup · Complete Celebration,celebrate,celebration_support,,Make their special day unforgettable
All Breeds · Gotcha Day Surprise · Adoption Anniversary,celebrate,celebration_support,,Find your perfect companion match
All Breeds · Photoshoot Coordination · Memory Capture,celebrate,celebration_support,,Make special moments memorable
Large Breed · Party Venue Booking · Space For Play,care,celebration_support,,Relaxation and pampering they deserve
All Breeds · Nutrition Consultation · Diet Planning,advisory,care_support,,Personalized diet plan for optimal health
Senior Dog · Geriatric Care Plan · Golden Years,advisory,care_support,,Expert guidance for pet parents
Large Breed · Joint Health Support · Mobility Care,care,care_support,,Professional health monitoring and care
Sensitive Skin · Allergy Management · Comfort Plan,care,care_support,,Professional care for your companion
Post-Surgery · Recovery Support · Healing Help,emergency,care_support,,Help when you need it most
Puppy Training Programme,learn,training,Foundation training for puppies aged 8 weeks to 6 months.,Professional training to build confidence and good behavior
Anxiety & Behaviour Therapy,learn,training,"Specialized programme for anxiety, reactivity, and behavioural issues.",Expert training and guidance
Pet Sitting (Day),care,walking,Daytime pet sitting at your home or sitter's home.,Personalized care in familiar surroundings
Overnight Pet Sitting,care,walking,Overnight care at your home with bedtime routine and morning walks.,Personalized care in familiar surroundings
Vet Visit Coordination,care,health,"We find the right vet, book the appointment, and manage your records.",Professional health care and prevention
Emergency Support Line,care,health,24/7 emergency support with vet locator and transport coordination.,Expert help when you need it most
Senior Pet Wellness Check,care,health,Comprehensive wellness assessment for senior pets (7+ years).,Professional care for your companion
Home Vet Visit,care,vet,Veterinarian visits your home for check-up and basic treatments.,Professional health care and prevention
Wellness Check-up,care,wellness,Complete health screening with blood work and physical examination.,Professional care for your companion
Spa Day Experience,care,premium,Luxury spa treatment with aromatherapy and massage,Relaxation and pampering they deserve
Full Grooming Session,care,,"Complete grooming including bath, haircut, nail trim, ear cleaning",Professional grooming tailored to your dog's coat type
Bath & Brush,care,,Refreshing bath with coat-appropriate shampoo and thorough brushing,"Refreshing bath for a clean, happy pup"
Nail Trim & Paw Care,care,,Professional nail trimming with paw pad moisturizing,Keep paws healthy and comfortable
Dental Cleaning,care,,Professional teeth cleaning and oral health check,Maintain fresh breath and healthy teeth
Luxury Spa Day,care,,"Premium spa experience with massage, aromatherapy, and special treatments",Ultimate pampering for your precious companion
Wellness Check-up,care,,Comprehensive health examination by licensed veterinarian,"Preventive care for a healthy, happy life"
Vaccination Package,care,,Core vaccinations with health certificate,Keep your companion protected and healthy
Home Vet Visit,care,,Veterinarian comes to your home for check-up or treatment,Convenient care in familiar surroundings
Daycare,stay,,Supervised play and socialization during work hours,"Safe, supervised fun while you're at work"
Standard Boarding,stay,,Comfortable overnight stay with care and attention,A home away from home for your companion
Luxury Suite Boarding,stay,,Premium private suite with extra amenities and attention,VIP treatment for your special companion
In-Home Pet Sitting,stay,,Caretaker stays at your home with your pet,Your pet stays home while you travel
Puppy Training Basics,learn,,Foundation training for puppies 8-16 weeks,Build a strong foundation for lifelong good behavior
Obedience Training,learn,,Advanced commands and behavior refinement,Transform your dog into a well-mannered companion
Agility Training,learn,,Fun obstacle course training for fitness and bonding,Fun exercise that strengthens your bond
Swimming Session,fit,,Supervised pool time for exercise and fun,Low-impact exercise that's easy on joints
Hydrotherapy,fit,,Therapeutic water exercise for recovery or arthritis,Therapeutic exercise for recovery and mobility
Fitness Assessment,fit,,Complete fitness evaluation with personalized plan,Customized fitness plan for your dog's needs
Professional Dog Walking,fit,,Regular walks by trained professionals,Daily exercise and fresh air for your companion
Pet Taxi,travel,,"Safe transport for vet visits, grooming, or playdates","Safe, stress-free transportation"
Airport Transfer,travel,,Pet pickup/drop for flights with documentation assistance,Seamless airport experience for your pet
Birthday Party,celebrate,,Complete birthday celebration for your pet,Make their special day unforgettable
Professional Pet Photography,celebrate,,Studio or outdoor photo session,Professional portraits of your precious companion
Nutrition Consultation,advisory,,Expert advice on diet and feeding,Personalized nutrition plan for optimal health
Breed Selection Counseling,advisory,,Expert guidance on choosing the right breed,Find your perfect companion match
New Puppy Preparation,advisory,,Everything you need to know before bringing puppy home,Set up for success from day one
24/7 Pet Emergency Helpline,emergency,,Round-the-clock expert guidance for emergencies,Immediate expert help when you need it most
Emergency Pet Transport,emergency,,Rapid transport to nearest emergency vet,"Fast, safe transport when every minute counts"
Pet First Aid Course,emergency,,Learn to handle pet emergencies at home,Be prepared to save your pet's life
Dignified Cremation,farewell,,Respectful cremation with ashes return,A dignified farewell for your beloved companion
Adoption Counseling,adopt,,Expert guidance through the adoption process,"Make an informed, confident adoption decision"
Home Readiness Check,adopt,,Ensure your home is ready for your new pet,Prepare your home for your new family member
Foster-to-Adopt Program,adopt,,Trial period before permanent adoption,Try before you commit to ensure the perfect match
Pet Registration Assistance,paperwork,,Help with municipal pet registration,Hassle-free compliance with local regulations
Microchipping,paperwork,,Permanent ID chip for your pet's safety,Peace of mind if your pet ever gets lost
Pet Passport Service,paperwork,,Complete documentation for international travel,All papers in order for worry-free travel
